Animal_Name,Animal_Species,Latitude,Longitude
Emperor Goose,Anser canagicus,55.985,-161.055
Emperor Goose,Anser canagicus,56.014,-161.138
Emperor Goose,Anser canagicus,56.01,-161.133
Emperor Goose,Anser canagicus,55.991,-161.111
Emperor Goose,Anser canagicus,56.005,-161.158
Emperor Goose,Anser canagicus,56.012,-161.116
Emperor Goose,Anser canagicus,56.003,-161.163
Emperor Goose,Anser canagicus,56.002,-161.184
Emperor Goose,Anser canagicus,55.968,-161.778
Emperor Goose,Anser canagicus,55.955,-161.2
Emperor Goose,Anser canagicus,56.007,-160.494
Emperor Goose,Anser canagicus,55.996,-161.138
Emperor Goose,Anser canagicus,55.978,-161.01
Emperor Goose,Anser canagicus,55.985,-161.061
Emperor Goose,Anser canagicus,55.965,-161.062
Emperor Goose,Anser canagicus,55.978,-160.996
Emperor Goose,Anser canagicus,55.963,-161.093
Emperor Goose,Anser canagicus,55.947,-161.031
Emperor Goose,Anser canagicus,55.994,-161.202
Emperor Goose,Anser canagicus,55.978,-161.231
Emperor Goose,Anser canagicus,55.992,-161.202
Emperor Goose,Anser canagicus,55.989,-161.191
Emperor Goose,Anser canagicus,55.972,-161.196
Emperor Goose,Anser canagicus,55.965,-161.23
Emperor Goose,Anser canagicus,56.02,-161.183
Emperor Goose,Anser canagicus,55.913,-161.014
Emperor Goose,Anser canagicus,56.012,-161.37
Emperor Goose,Anser canagicus,55.96,-161.073
Emperor Goose,Anser canagicus,56.056,-160.707
Emperor Goose,Anser canagicus,56.057,-160.984
Emperor Goose,Anser canagicus,56.079,-161.014
Emperor Goose,Anser canagicus,55.652,-162.578
Emperor Goose,Anser canagicus,55.539,-161.581
Emperor Goose,Anser canagicus,56.213,-159.843
Emperor Goose,Anser canagicus,55.981,-161.241
Emperor Goose,Anser canagicus,55.82,-160.848
Emperor Goose,Anser canagicus,55.954,-160.984
Emperor Goose,Anser canagicus,55.893,-160.969
Emperor Goose,Anser canagicus,55.672,-162.429
Emperor Goose,Anser canagicus,55.943,-161.035
Emperor Goose,Anser canagicus,55.971,-161.05
Emperor Goose,Anser canagicus,56.032,-160.936
Emperor Goose,Anser canagicus,56.02,-161.063
Emperor Goose,Anser canagicus,56.008,-160.972
Emperor Goose,Anser canagicus,56.011,-160.986
Emperor Goose,Anser canagicus,56.005,-160.974
Emperor Goose,Anser canagicus,55.995,-160.935
Emperor Goose,Anser canagicus,55.995,-160.992
Emperor Goose,Anser canagicus,56.018,-160.964
Emperor Goose,Anser canagicus,56.01,-160.977
Emperor Goose,Anser canagicus,56.015,-160.978
Emperor Goose,Anser canagicus,56.006,-160.968
Emperor Goose,Anser canagicus,56.004,-161.008
Emperor Goose,Anser canagicus,56.012,-161.024
Emperor Goose,Anser canagicus,56.015,-160.974
Emperor Goose,Anser canagicus,56.021,-160.964
Emperor Goose,Anser canagicus,56.018,-160.952
Emperor Goose,Anser canagicus,56.017,-161.153
Emperor Goose,Anser canagicus,55.96,-161.429
Emperor Goose,Anser canagicus,56.036,-161.182
Emperor Goose,Anser canagicus,55.801,-161.837
Emperor Goose,Anser canagicus,55.998,-161.087
Emperor Goose,Anser canagicus,56.006,-161.065
Emperor Goose,Anser canagicus,56.012,-161.089
Emperor Goose,Anser canagicus,55.991,-161.022
Emperor Goose,Anser canagicus,55.999,-161.14
Emperor Goose,Anser canagicus,56.01,-161.093
Emperor Goose,Anser canagicus,56.006,-161.091
Emperor Goose,Anser canagicus,56.004,-161.078
Emperor Goose,Anser canagicus,55.997,-161.065
Emperor Goose,Anser canagicus,55.998,-161.087
Emperor Goose,Anser canagicus,56.03,-160.793
Emperor Goose,Anser canagicus,57.48,-169.277
Emperor Goose,Anser canagicus,56,-160.962
Emperor Goose,Anser canagicus,56.021,-160.95
Emperor Goose,Anser canagicus,56.01,-161.093
Emperor Goose,Anser canagicus,55.988,-161.03
Emperor Goose,Anser canagicus,55.999,-161.072
Emperor Goose,Anser canagicus,55.838,-160.637
Emperor Goose,Anser canagicus,55.992,-161.049
Emperor Goose,Anser canagicus,53.975,-166.113
Emperor Goose,Anser canagicus,53.85,-166.343
Emperor Goose,Anser canagicus,53.987,-165.979
Emperor Goose,Anser canagicus,53.979,-166.106
Emperor Goose,Anser canagicus,53.946,-165.63
Emperor Goose,Anser canagicus,54.196,-166.105
Emperor Goose,Anser canagicus,55.274,-162.71
Emperor Goose,Anser canagicus,55.295,-162.6
Emperor Goose,Anser canagicus,55.306,-162.675
Emperor Goose,Anser canagicus,55.262,-162.864
Emperor Goose,Anser canagicus,55.277,-162.648
Emperor Goose,Anser canagicus,55.297,-162.677
Emperor Goose,Anser canagicus,55.28,-162.672
Emperor Goose,Anser canagicus,55.284,-162.617
Emperor Goose,Anser canagicus,55.268,-162.661
Emperor Goose,Anser canagicus,55.267,-162.654
Emperor Goose,Anser canagicus,55.271,-162.652
Emperor Goose,Anser canagicus,55.262,-162.662
Emperor Goose,Anser canagicus,55.269,-162.709
Emperor Goose,Anser canagicus,55.27,-162.643
Emperor Goose,Anser canagicus,55.257,-162.649
Emperor Goose,Anser canagicus,55.278,-162.654
Emperor Goose,Anser canagicus,55.296,-162.629
Emperor Goose,Anser canagicus,55.271,-162.652
Emperor Goose,Anser canagicus,55.267,-162.587
Emperor Goose,Anser canagicus,55.271,-162.66
Emperor Goose,Anser canagicus,55.274,-162.709
Emperor Goose,Anser canagicus,55.271,-162.684
Emperor Goose,Anser canagicus,55.307,-162.598
Emperor Goose,Anser canagicus,55.268,-162.692
Emperor Goose,Anser canagicus,55.296,-162.582
Emperor Goose,Anser canagicus,55.313,-162.752
Emperor Goose,Anser canagicus,55.276,-162.656
Emperor Goose,Anser canagicus,55.323,-162.836
Emperor Goose,Anser canagicus,55.227,-162.593
Emperor Goose,Anser canagicus,55.279,-162.688
Emperor Goose,Anser canagicus,55.272,-162.675
Emperor Goose,Anser canagicus,55.223,-162.917
Emperor Goose,Anser canagicus,55.276,-162.684
Emperor Goose,Anser canagicus,55.275,-162.654
Emperor Goose,Anser canagicus,55.275,-162.671
Emperor Goose,Anser canagicus,55.28,-162.647
Emperor Goose,Anser canagicus,55.308,-162.676
Emperor Goose,Anser canagicus,55.268,-162.612
Emperor Goose,Anser canagicus,55.341,-162.502
Emperor Goose,Anser canagicus,55.31,-162.639
Emperor Goose,Anser canagicus,55.317,-162.502
Emperor Goose,Anser canagicus,55.333,-162.815
Emperor Goose,Anser canagicus,55.3,-162.656
Emperor Goose,Anser canagicus,55.278,-162.686
Emperor Goose,Anser canagicus,55.259,-162.649
Emperor Goose,Anser canagicus,55.284,-162.669
Emperor Goose,Anser canagicus,55.297,-162.622
Emperor Goose,Anser canagicus,55.289,-162.64
Emperor Goose,Anser canagicus,55.275,-162.651
Emperor Goose,Anser canagicus,55.269,-162.613
Emperor Goose,Anser canagicus,55.274,-162.671
Emperor Goose,Anser canagicus,55.356,-162.691
Emperor Goose,Anser canagicus,55.278,-162.647
Emperor Goose,Anser canagicus,55.287,-162.773
Emperor Goose,Anser canagicus,56.106,-161.021
Emperor Goose,Anser canagicus,56.002,-160.989
Emperor Goose,Anser canagicus,56.002,-161.015
Emperor Goose,Anser canagicus,56.006,-160.982
Emperor Goose,Anser canagicus,56.133,-160.643
Emperor Goose,Anser canagicus,56.151,-160.907
Emperor Goose,Anser canagicus,56.105,-161.095
Emperor Goose,Anser canagicus,60.635,-134.646
Emperor Goose,Anser canagicus,55.752,-161.532
Emperor Goose,Anser canagicus,55.982,-161.033
Emperor Goose,Anser canagicus,55.994,-161.065
Emperor Goose,Anser canagicus,55.999,-161.056
Emperor Goose,Anser canagicus,56.008,-161.071
Emperor Goose,Anser canagicus,55.994,-161.153
Emperor Goose,Anser canagicus,56.008,-161.167
Emperor Goose,Anser canagicus,55.965,-161.092
Emperor Goose,Anser canagicus,55.964,-161.049
Emperor Goose,Anser canagicus,55.954,-161.042
Emperor Goose,Anser canagicus,55.864,-161.014
Emperor Goose,Anser canagicus,55.948,-161.088
Emperor Goose,Anser canagicus,55.952,-161.072
Emperor Goose,Anser canagicus,55.958,-161.082
Emperor Goose,Anser canagicus,55.986,-161.038
